순위,선수,팀,포지션,경기,선발,이닝,풋아웃,어시스트,실책,병살 처리,수비율,포일,피도루,도루 실패,도루저지율,견제사
1,김병휘,키움,유격수,2,0,4,0,2,0,0,1,0,0,0,0,0
1,이주형,키움,1루수,2,0,2,1,0,0,0,1,0,0,0,0,0
1,이원석,키움,1루수,1,0,2,4,0,0,1,1,0,0,0,0,0
1,이용규,키움,좌익수,2,1,8,2,0,0,0,1,0,0,0,0,0
1,이용규,키움,우익수,2,0,3,1,0,0,0,1,0,0,0,0,0
1,박주홍,키움,좌익수,41,25,236,70,1,0,1,1,0,0,0,0,0
1,양현종,키움,1루수,2,2,14,11,0,0,0,1,0,0,0,0,0
1,박주홍,키움,1루수,3,0,5,2,0,0,1,1,0,0,0,0,0
1,오선진,키움,3루수,24,9,102,7,22,0,3,1,0,0,0,0,0
1,송지후,키움,3루수,1,0,3,0,1,0,0,1,0,0,0,0,0
1,권혁빈,키움,좌익수,1,0,2,2,0,0,0,1,0,0,0,0,0
1,카디네스,키움,좌익수,2,2,17,2,0,0,0,1,0,0,0,0,0
1,송지후,키움,유격수,2,0,3,1,1,0,0,1,0,0,0,0,0
1,임병욱,키움,중견수,17,10,81,27,0,0,0,1,0,0,0,0,0
1,서유신,키움,2루수,2,2,17,3,4,0,0,1,0,0,0,0,0
1,권혁빈,키움,유격수,6,3,30,6,4,0,0,1,0,0,0,0,0
1,오선진,키움,1루수,8,1,19,19,1,0,1,1,0,0,0,0,0
1,권혁빈,키움,중견수,2,1,10,2,0,0,0,1,0,0,0,0,0
1,이형종,키움,우익수,12,6,63,16,1,0,0,1,0,0,0,0,0
1,이형종,키움,좌익수,12,10,80,21,0,0,0,1,0,0,0,0,0
1,임병욱,키움,좌익수,11,7,72,18,0,0,0,1,0,0,0,0,0
1,박수종,키움,우익수,9,3,35,11,1,0,1,1,0,0,0,0,0
1,원성준,키움,우익수,9,4,36,4,0,0,0,1,0,0,0,0,0
1,박수종,키움,좌익수,8,0,23,11,0,0,0,1,0,0,0,0,0
1,강진성,키움,1루수,4,2,19,17,1,0,2,1,0,0,0,0,0
1,권혁빈,키움,2루수,7,5,32,7,8,0,2,1,0,0,0,0,0
1,원성준,키움,좌익수,7,5,45,12,0,0,0,1,0,0,0,0,0
1,전태현,키움,좌익수,13,7,60,17,0,0,0,1,0,0,0,0,0
1,전태현,키움,유격수,6,2,20,5,4,0,1,1,0,0,0,0,0
1,스톤,키움,좌익수,3,3,26,6,0,0,0,1,0,0,0,0,0
1,김병휘,키움,2루수,5,2,19,4,8,0,1,1,0,0,0,0,0
1,염승원,키움,2루수,5,4,27,6,7,0,1,1,0,0,0,0,0
1,임지열,키움,우익수,5,5,41,10,1,0,1,1,0,0,0,0,0
1,변상권,키움,좌익수,3,2,15,5,0,0,0,1,0,0,0,0,0
37,이주형,키움,중견수,119,110,967,328,2,1,0,0.997,0,0,0,0,0
38,김동헌,키움,포수,45,18,185,152,6,1,0,0.994,1,22,1,4.3,0
39,임지열,키움,1루수,38,32,285,276,20,2,17,0.993,0,0,0,0,0
40,김건희,키움,포수,104,85,731,532,64,5,7,0.992,11,54,28,34.1,2
40,송성문,키움,2루수,25,23,188,54,63,1,13,0.992,0,0,0,0,0
40,최주환,키움,1루수,97,95,819,698,47,6,67,0.992,0,0,0,0,0
43,김재현,키움,포수,62,41,353,277,28,4,6,0.987,1,31,12,27.9,0
43,김태진,키움,2루수,64,48,430,93,138,3,29,0.987,0,0,0,0,0
45,송지후,키움,2루수,30,25,212,53,74,2,8,0.984,0,0,0,0,0
45,주성원,키움,우익수,37,32,257,60,2,1,0,0.984,0,0,0,0,0
45,임지열,키움,좌익수,49,49,414,122,4,2,2,0.984,0,0,0,0,0
48,오선진,키움,2루수,23,9,97,27,25,1,7,0.981,0,0,0,0,0
49,전태현,키움,2루수,34,24,213,44,68,3,15,0.974,0,0,0,0,0
50,박주홍,키움,우익수,41,29,278,65,1,2,1,0.971,0,0,0,0,0
51,카디네스,키움,우익수,42,40,322,61,4,2,1,0.97,0,0,0,0,0
52,오선진,키움,유격수,51,20,228,40,48,3,11,0.967,0,0,0,0,0
52,박주홍,키움,중견수,14,8,66,28,1,1,1,0.967,0,0,0,0,0
54,카디네스,키움,1루수,6,6,54,42,5,2,1,0.959,0,0,0,0,0
54,송성문,키움,3루수,111,108,935,103,202,13,29,0.959,0,0,0,0,0
56,푸이그,키움,좌익수,28,28,232,45,1,2,0,0.958,0,0,0,0,0
57,스톤,키움,우익수,13,13,114,19,2,1,0,0.955,0,0,0,0,0
57,박수종,키움,중견수,19,6,64,21,0,1,0,0.955,0,0,0,0,0
59,여동욱,키움,1루수,3,3,21,20,0,1,2,0.952,0,0,0,0,0
60,임병욱,키움,우익수,19,11,106,19,0,1,0,0.95,0,0,0,0,0
60,고영우,키움,2루수,6,2,32,8,11,1,0,0.95,0,0,0,0,0
62,전태현,키움,3루수,13,9,80,5,13,1,1,0.947,0,0,0,0,0
63,이용규,키움,중견수,7,7,52,17,0,1,0,0.944,0,0,0,0,0
64,김태진,키움,유격수,34,23,217,27,58,6,7,0.934,0,0,0,0,0
65,어준서,키움,유격수,109,95,763,139,196,26,43,0.928,0,0,0,0,0
66,주성원,키움,좌익수,5,5,32,11,1,1,0,0.923,0,0,0,0,0
67,장재영,키움,중견수,6,2,24,10,0,1,0,0.909,0,0,0,0,0
68,여동욱,키움,3루수,17,9,76,9,13,3,2,0.88,0,0,0,0,0
69,고영우,키움,3루수,4,2,19,1,3,1,0,0.8,0,0,0,0,0
70,양현종,키움,3루수,7,2,17,1,2,1,0,0.75,0,0,0,0,0
71,어준서,키움,3루수,4,4,26,2,1,3,0,0.5,0,0,0,0,0
72,이재상,키움,유격수,1,1,2,0,0,1,0,0,0,0,0,0,0
72,서유신,키움,유격수,1,0,1,0,0,1,0,0,0,0,0,0,0
72,이승원,키움,3루수,1,1,5,0,0,1,0,0,0,0,0,0,0
75,김태진,키움,3루수,1,0,1,0,0,0,0,0,0,0,0,0,0
75,고영우,키움,유격수,1,0,1,0,0,0,0,0,0,0,0,0,0
75,이재상,키움,3루수,1,0,2,0,0,0,0,0,0,0,0,0,0
75,원성준,키움,중견수,1,0,2,0,0,0,0,0,0,0,0,0,0
75,서유신,키움,3루수,2,0,2,0,0,0,0,0,0,0,0,0,0
