순위,선수,팀,포지션,경기,선발,이닝,풋아웃,어시스트,실책,병살 처리,수비율,포일,피도루,도루 실패,도루저지율,견제사
56,이호연,KT,3루수,6,3,28,3,2,1,0,0.833,0,0,0,0,0
57,황재균,KT,2루수,3,1,11,2,2,1,0,0.8,0,0,0,0,0
58,최성민,KT,중견수,3,1,5,1,0,1,0,0.5,0,0,0,0,0
58,김민혁,KT,우익수,1,1,8,1,0,1,0,0.5,0,0,0,0,0
60,오서진,KT,2루수,1,0,1,0,0,1,0,0,0,0,0,0,0
61,김병준,KT,중견수,1,0,3,0,0,0,0,0,0,0,0,0,0
61,오윤석,KT,3루수,1,0,1,0,0,0,0,0,0,0,0,0,0
61,오서진,KT,3루수,1,0,1,0,0,0,0,0,0,0,0,0,0
61,안현민,KT,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
61,박경수,KT,2루수,1,0,2,0,0,0,0,0,0,0,0,0,0
61,김건형,KT,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
61,윤준혁,KT,3루수,2,0,5,0,0,0,0,0,0,0,0,0,0
61,스티븐슨,KT,우익수,2,0,3,0,0,0,0,0,0,0,0,0,0
1,김주성,LG,1루수,4,3,21,28,2,0,1,1,0,0,0,0,0
1,이영빈,LG,2루수,15,5,53,11,24,0,3,1,0,0,0,0,0
1,천성호,LG,좌익수,8,5,29,6,0,0,0,1,0,0,0,0,0
1,천성호,LG,우익수,3,3,17,1,0,0,0,1,0,0,0,0,0
1,신민재,LG,유격수,1,0,6,0,2,0,0,1,0,0,0,0,0
1,홍창기,LG,우익수,42,40,329,58,2,0,0,1,0,0,0,0,0
1,김현종,LG,좌익수,9,1,14,1,0,0,0,1,0,0,0,0,0
1,최원영,LG,중견수,34,5,78,29,0,0,0,1,0,0,0,0,0
1,문성주,LG,좌익수,32,26,226,57,1,0,0,1,0,0,0,0,0
1,최원영,LG,우익수,27,7,81,23,0,0,0,1,0,0,0,0,0
1,송찬의,LG,우익수,25,17,153,29,0,0,0,1,0,0,0,0,0
1,송찬의,LG,좌익수,24,12,123,30,2,0,0,1,0,0,0,0,0
1,박관우,LG,좌익수,17,7,57,12,0,0,0,1,0,0,0,0,0
1,이영빈,LG,1루수,14,2,37,45,2,0,4,1,0,0,0,0,0
1,이영빈,LG,3루수,11,5,50,2,8,0,1,1,0,0,0,0,0
1,문정빈,LG,3루수,9,2,26,0,4,0,1,1,0,0,0,0,0
1,함창건,LG,좌익수,9,7,56,17,0,0,0,1,0,0,0,0,0
1,이영빈,LG,유격수,8,1,18,1,5,0,1,1,0,0,0,0,0
1,김정율,LG,1루수,7,2,27,23,3,0,3,1,0,0,0,0,0
1,김정율,LG,3루수,6,0,13,0,4,0,0,1,0,0,0,0,0
1,문정빈,LG,1루수,6,2,18,18,2,0,2,1,0,0,0,0,0
1,함창건,LG,우익수,6,0,12,3,0,0,0,1,0,0,0,0,0
1,구본혁,LG,좌익수,4,2,16,2,0,0,0,1,0,0,0,0,0
1,김성우,LG,포수,5,0,9,8,0,0,0,1,0,0,0,0,0
1,송찬의,LG,중견수,4,2,15,2,0,0,0,1,0,0,0,0,0
1,손용준,LG,1루수,2,2,8,11,1,0,1,1,0,0,0,0,0
1,문정빈,LG,좌익수,2,2,7,4,0,0,0,1,0,0,0,0,0
28,박해민,LG,중견수,144,136,1179,310,6,1,2,0.997,0,0,0,0,0
29,문성주,LG,우익수,80,76,644,144,4,1,0,0.993,0,0,0,0,0
30,박동원,LG,포수,130,102,938,784,78,8,11,0.991,2,67,18,21.2,2
30,구본혁,LG,2루수,35,26,220,51,63,1,16,0.991,0,0,0,0,0
32,천성호,LG,1루수,21,10,99,89,9,1,9,0.99,0,0,0,0,0
32,오스틴,LG,1루수,96,94,793,723,61,8,66,0.99,0,0,0,0,0
32,문보경,LG,1루수,37,18,190,191,10,2,28,0.99,0,0,0,0,0
35,이주헌,LG,포수,69,42,332,295,16,4,2,0.987,5,28,3,9.7,0
36,김현수,LG,좌익수,76,74,560,115,3,2,0,0.983,0,0,0,0,0
37,천성호,LG,2루수,27,18,158,36,66,2,14,0.981,0,0,0,0,0
37,구본혁,LG,유격수,57,36,315,57,97,3,22,0.981,0,0,0,0,0
39,오지환,LG,유격수,123,107,939,148,295,9,67,0.98,0,0,0,0,0
40,신민재,LG,2루수,130,113,992,245,320,12,87,0.979,0,0,0,0,0
40,구본혁,LG,3루수,68,33,328,21,72,2,9,0.979,0,0,0,0,0
42,최원영,LG,좌익수,60,8,169,41,0,1,0,0.976,0,0,0,0,0
42,김현수,LG,1루수,12,9,83,73,9,2,6,0.976,0,0,0,0,0
44,송찬의,LG,1루수,4,2,16,17,1,1,1,0.947,0,0,0,0,0
45,천성호,LG,3루수,20,10,85,7,9,1,3,0.941,0,0,0,0,0
46,문보경,LG,3루수,95,91,753,48,153,14,13,0.935,0,0,0,0,0
47,최승민,LG,좌익수,12,0,19,5,0,1,0,0.833,0,0,0,0,0
48,손용준,LG,3루수,2,2,13,1,3,1,2,0.8,0,0,0,0,0
49,김주성,LG,3루수,1,1,4,0,2,1,0,0.667,0,0,0,0,0
49,박관우,LG,우익수,15,0,27,2,0,1,0,0.667,0,0,0,0,0
51,최승민,LG,중견수,1,0,1,0,0,0,0,0,0,0,0,0,0
51,최승민,LG,우익수,2,0,2,0,0,0,0,0,0,0,0,0,0
51,문정빈,LG,우익수,2,1,8,0,0,0,0,0,0,0,0,0,0
51,신민재,LG,중견수,2,1,6,0,0,0,0,0,0,0,0,0,0
51,김현종,LG,우익수,1,0,3,0,0,0,0,0,0,0,0,0,0
51,김주성,LG,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
51,김주성,LG,2루수,2,0,3,0,0,0,0,0,0,0,0,0,0
51,김정율,LG,유격수,1,0,1,0,0,0,0,0,0,0,0,0,0
51,이영빈,LG,우익수,2,0,2,0,0,0,0,0,0,0,0,0,0
51,송찬의,LG,3루수,3,0,6,0,0,0,0,0,0,0,0,0,0
1,박시원,NC,우익수,34,4,93,18,0,0,0,1,0,0,0,0,0
1,홍종표,NC,유격수,2,0,1,0,1,0,0,1,0,0,0,0,0
1,김휘집,NC,1루수,21,6,74,62,5,0,10,1,0,0,0,0,0
1,최원준,NC,1루수,1,0,2,1,0,0,0,1,0,0,0,0,0
1,박한결,NC,좌익수,5,3,21,6,0,0,0,1,0,0,0,0,0
1,천재환,NC,중견수,60,39,314,87,1,0,0,1,0,0,0,0,0
1,박시원,NC,중견수,8,6,41,9,0,0,0,1,0,0,0,0,0
1,박시원,NC,좌익수,2,1,12,6,0,0,0,1,0,0,0,0,0
1,최정원,NC,중견수,45,18,210,52,2,0,0,1,0,0,0,0,0
1,최정원,NC,좌익수,13,3,47,11,1,0,1,1,0,0,0,0,0
1,김한별,NC,3루수,27,3,56,7,8,0,2,1,0,0,0,0,0
1,최정원,NC,2루수,25,7,89,22,28,0,5,1,0,0,0,0,0
1,권희동,NC,우익수,23,21,117,19,1,0,0,1,0,0,0,0,0
1,도태훈,NC,1루수,23,5,89,77,8,0,9,1,0,0,0,0,0
1,김한별,NC,2루수,27,7,85,10,26,0,5,1,0,0,0,0,0
1,한석현,NC,우익수,18,3,70,20,2,0,0,1,0,0,0,0,0
1,김정호,NC,포수,8,3,32,32,2,0,0,1,0,5,1,16.7,0
1,박민우,NC,1루수,7,1,20,20,0,0,1,1,0,0,0,0,0
1,고승완,NC,좌익수,2,0,7,1,0,0,0,1,0,0,0,0,0
1,한재환,NC,1루수,6,2,21,23,1,0,2,1,0,0,0,0,0
1,한석현,NC,좌익수,12,3,41,4,0,0,0,1,0,0,0,0,0
1,안인산,NC,1루수,2,0,2,2,0,0,0,1,0,0,0,0,0
1,최정원,NC,우익수,1,0,4,1,0,0,0,1,0,0,0,0,0
1,홍종표,NC,3루수,7,3,29,4,6,0,0,1,0,0,0,0,0
1,고승완,NC,중견수,6,1,10,8,0,0,0,1,0,0,0,0,0
1,권희동,NC,중견수,6,4,22,5,0,0,0,1,0,0,0,0,0
1,송승환,NC,1루수,1,1,2,2,0,0,1,1,0,0,0,0,0
1,이우성,NC,우익수,14,9,91,13,0,0,0,1,0,0,0,0,0
1,박영빈,NC,중견수,5,0,8,3,0,0,0,1,0,0,0,0,0
1,오태양,NC,중견수,5,3,25,6,0,0,0,1,0,0,0,0,0
1,권희동,NC,포수,1,0,1,1,0,0,0,1,0,0,0,0,0
1,송승환,NC,좌익수,3,1,6,1,0,0,0,1,0,0,0,0,0
1,이우성,NC,중견수,3,1,12,4,0,0,0,1,0,0,0,0,0
1,한재환,NC,좌익수,3,1,9,2,0,0,0,1,0,0,0,0,0
35,데이비슨,NC,1루수,87,87,660,572,46,2,53,0.997,0,0,0,0,0
36,서호철,NC,1루수,55,27,272,241,7,1,26,0.996,0,0,0,0,0
37,김형준,NC,포수,123,107,906,782,78,4,8,0.995,6,47,26,35.6,1
38,최원준,NC,중견수,80,71,611,158,6,1,1,0.994,0,0,0,0,0
39,권희동,NC,좌익수,103,82,669,135,7,1,0,0.993,0,0,0,0,0
40,박건우,NC,우익수,69,64,458,83,5,1,1,0.989,0,0,0,0,0
41,이우성,NC,좌익수,75,66,470,120,3,2,1,0.984,0,0,0,0,0
42,이우성,NC,1루수,9,8,63,53,6,1,3,0.983,0,0,0,0,0
42,도태훈,NC,2루수,22,9,93,20,38,1,4,0.983,0,0,0,0,0
44,박세혁,NC,포수,43,19,185,148,12,3,1,0.982,0,22,2,8.3,0
44,오영수,NC,1루수,16,7,64,52,3,1,6,0.982,0,0,0,0,0
44,안중열,NC,포수,32,15,145,99,11,2,0,0.982,1,6,1,14.3,0
47,한석현,NC,중견수,30,20,186,49,2,1,0,0.981,0,0,0,0,0
48,홍종표,NC,2루수,44,10,164,46,50,2,12,0.98,0,0,0,0,0
49,박민우,NC,2루수,100,96,766,205,259,10,58,0.979,0,0,0,0,0
50,천재환,NC,좌익수,53,5,174,43,0,1,0,0.977,0,0,0,0,0
51,서호철,NC,2루수,31,23,179,42,58,3,10,0.971,0,0,0,0,0
51,최원준,NC,우익수,66,29,324,62,4,2,0,0.971,0,0,0,0,0
53,천재환,NC,우익수,52,11,202,29,3,1,0,0.97,0,0,0,0,0
54,김한별,NC,유격수,28,5,82,17,29,2,5,0.958,0,0,0,0,0
55,김주원,NC,유격수,140,139,1166,246,336,29,79,0.953,0,0,0,0,0
56,김휘집,NC,3루수,130,119,1005,106,193,19,20,0.94,0,0,0,0,0
57,박건우,NC,중견수,7,7,51,13,0,1,0,0.929,0,0,0,0,0
58,서호철,NC,3루수,31,18,166,14,30,4,4,0.917,0,0,0,0,0
58,도태훈,NC,유격수,6,0,21,2,9,1,1,0.917,0,0,0,0,0
60,오태양,NC,2루수,5,0,8,2,4,1,1,0.857,0,0,0,0,0
61,도태훈,NC,3루수,11,2,28,1,4,1,0,0.833,0,0,0,0,0
62,최정원,NC,3루수,1,1,4,2,1,1,0,0.75,0,0,0,0,0
63,고승완,NC,우익수,1,0,3,0,0,0,0,0,0,0,0,0,0
63,한재환,NC,3루수,1,0,2,0,0,0,0,0,0,0,0,0,0
63,최원준,NC,좌익수,2,0,4,0,0,0,0,0,0,0,0,0,0
63,권희동,NC,1루수,1,0,1,0,0,0,0,0,0,0,0,0,0
1,김찬형,SSG,2루수,6,3,22,5,4,0,0,1,0,0,0,0,0
1,맥브룸,SSG,우익수,10,10,72,15,0,0,0,1,0,0,0,0,0
1,오태곤,SSG,1루수,58,10,178,154,10,0,23,1,0,0,0,0,0
1,박지환,SSG,우익수,9,4,37,8,0,0,0,1,0,0,0,0,0
1,최준우,SSG,좌익수,34,22,212,37,1,0,0,1,0,0,0,0,0
1,김성욱,SSG,우익수,32,16,164,33,0,0,0,1,0,0,0,0,0
1,김태윤,SSG,3루수,2,0,5,0,2,0,0,1,0,0,0,0,0
1,김태윤,SSG,2루수,2,0,2,0,1,0,0,1,0,0,0,0,0
1,김성현,SSG,유격수,9,2,25,2,10,0,1,1,0,0,0,0,0
1,신범수,SSG,포수,23,8,82,75,4,0,0,1,0,9,1,10,0
1,오태곤,SSG,우익수,21,10,95,14,1,0,1,1,0,0,0,0,0
1,맥브룸,SSG,1루수,6,5,45,43,5,0,5,1,0,0,0,0,0
1,채현우,SSG,중견수,7,3,25,8,0,0,0,1,0,0,0,0,0
1,최상민,SSG,우익수,14,0,23,6,0,0,0,1,0,0,0,0,0
1,채현우,SSG,우익수,19,3,53,10,0,0,0,1,0,0,0,0,0
1,석정우,SSG,유격수,1,0,3,0,2,0,0,1,0,0,0,0,0
1,김성욱,SSG,중견수,17,11,92,22,1,0,0,1,0,0,0,0,0
1,최준우,SSG,1루수,2,0,10,7,1,0,0,1,0,0,0,0,0
1,한유섬,SSG,좌익수,6,6,44,10,0,0,0,1,0,0,0,0,0
1,오태곤,SSG,중견수,12,5,49,11,0,0,0,1,0,0,0,0,0
1,임근우,SSG,우익수,2,1,12,5,0,0,0,1,0,0,0,0,0
1,현원회,SSG,1루수,11,9,62,62,9,0,6,1,0,0,0,0,0
1,이정범,SSG,1루수,1,0,2,1,0,0,0,1,0,0,0,0,0
1,최상민,SSG,중견수,3,0,3,1,0,0,0,1,0,0,0,0,0
1,하재훈,SSG,좌익수,5,4,36,10,0,0,0,1,0,0,0,0,0
1,김성욱,SSG,좌익수,7,4,35,8,0,0,0,1,0,0,0,0,0
27,고명준,SSG,1루수,123,120,986,850,81,3,91,0.997,0,0,0,0,0
28,조형우,SSG,포수,102,80,696,659,60,4,7,0.994,3,56,22,28.2,5
28,이지영,SSG,포수,72,55,482,454,32,3,5,0.994,1,45,10,18.2,1
30,에레디아,SSG,좌익수,86,86,740,194,6,2,0,0.99,0,0,0,0,0
31,한유섬,SSG,우익수,81,79,642,122,3,2,1,0.984,0,0,0,0,0
32,김성현,SSG,2루수,17,10,83,23,34,1,7,0.983,0,0,0,0,0
32,정준재,SSG,2루수,123,102,932,214,297,9,78,0.983,0,0,0,0,0
34,최지훈,SSG,중견수,136,128,1136,249,3,5,1,0.981,0,0,0,0,0
35,안상현,SSG,2루수,25,22,179,33,56,2,11,0.978,0,0,0,0,0
36,박성한,SSG,유격수,127,124,1065,222,340,20,90,0.966,0,0,0,0,0
37,안상현,SSG,유격수,32,17,170,37,42,3,15,0.963,0,0,0,0,0
38,최준우,SSG,우익수,19,11,98,22,0,1,0,0.957,0,0,0,0,0
39,김찬형,SSG,3루수,32,20,175,18,39,3,6,0.95,0,0,0,0,0
40,최정,SSG,3루수,45,45,371,25,50,4,3,0.949,0,0,0,0,0
41,안상현,SSG,3루수,44,32,298,18,44,4,5,0.939,0,0,0,0,0
42,석정우,SSG,2루수,9,7,57,13,17,2,5,0.938,0,0,0,0,0
43,오태곤,SSG,좌익수,25,14,139,29,0,2,0,0.935,0,0,0,0,0
44,하재훈,SSG,우익수,11,10,79,13,0,1,0,0.929,0,0,0,0,0
44,채현우,SSG,좌익수,14,7,66,13,0,1,0,0.929,0,0,0,0,0
46,김성현,SSG,3루수,37,17,182,9,30,4,1,0.907,0,0,0,0,0
47,김찬형,SSG,유격수,8,1,18,3,6,1,2,0.9,0,0,0,0,0
48,박지환,SSG,3루수,18,17,138,12,26,5,1,0.884,0,0,0,0,0
49,이율예,SSG,포수,6,1,22,13,2,2,0,0.882,0,0,0,0,0
50,김수윤,SSG,3루수,7,5,35,4,8,2,2,0.857,0,0,0,0,0
51,석정우,SSG,3루수,20,8,78,2,7,2,0,0.818,0,0,0,0,0
52,홍대인,SSG,2루수,3,0,6,0,1,1,0,0.5,0,0,0,0,0
53,정현승,SSG,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
53,정현승,SSG,우익수,1,0,4,0,0,0,0,0,0,0,0,0,0
53,하재훈,SSG,중견수,1,0,1,0,0,0,0,0,0,0,0,0,0
53,김태윤,SSG,유격수,1,0,1,0,0,0,0,0,0,0,0,0,0
53,김창평,SSG,중견수,1,0,2,0,0,0,0,0,0,0,0,0,0
53,최상민,SSG,좌익수,2,0,4,0,0,0,0,0,0,0,0,0,0
53,류효승,SSG,좌익수,2,1,5,0,0,0,0,0,0,0,0,0,0
53,박지환,SSG,중견수,1,0,2,0,0,0,0,0,0,0,0,0,0
53,김창평,SSG,우익수,2,0,4,0,0,0,0,0,0,0,0,0,0
1,장승현,두산,포수,4,1,11,10,1,0,0,1,0,1,0,0,0
1,추재현,두산,1루수,2,1,6,9,1,0,0,1,0,0,0,0,0
1,박성재,두산,1루수,2,2,13,8,0,0,1,1,0,0,0,0,0
1,조수행,두산,좌익수,65,11,203,54,1,0,0,1,0,0,0,0,0
1,김대한,두산,중견수,7,3,31,11,0,0,0,1,0,0,0,0,0
1,김대한,두산,우익수,3,1,11,2,0,0,0,1,0,0,0,0,0
1,박준영,두산,3루수,2,0,2,1,0,0,0,1,0,0,0,0,0
1,케이브,두산,1루수,1,0,1,1,0,0,0,1,0,0,0,0,0
1,여동건,두산,3루수,1,0,2,0,1,0,0,1,0,0,0,0,0
1,박성재,두산,포수,3,0,4,4,1,0,0,1,0,0,1,100,0
1,김민혁,두산,1루수,8,5,35,32,1,0,5,1,0,0,0,0,0
1,추재현,두산,우익수,8,5,44,6,0,0,0,1,0,0,0,0,0
1,추재현,두산,좌익수,16,11,113,31,0,0,0,1,0,0,0,0,0
1,김재환,두산,좌익수,37,35,256,56,1,0,1,1,0,0,0,0,0
1,박지훈,두산,1루수,9,1,20,8,1,0,3,1,0,0,0,0,0
1,김준상,두산,2루수,7,4,37,4,11,0,2,1,0,0,0,0,0
1,이선우,두산,1루수,2,0,2,3,1,0,0,1,0,0,0,0,0
1,김인태,두산,우익수,8,0,11,3,0,0,0,1,0,0,0,0,0
1,안재석,두산,1루수,1,1,7,8,0,0,0,1,0,0,0,0,0
1,조수행,두산,우익수,13,5,53,16,0,0,0,1,0,0,0,0,0
1,김동준,두산,좌익수,11,9,67,11,1,0,0,1,0,0,0,0,0
1,이유찬,두산,2루수,11,7,64,18,20,0,5,1,0,0,0,0,0
1,전다민,두산,좌익수,9,0,18,2,0,0,0,1,0,0,0,0,0
1,이유찬,두산,우익수,3,1,13,3,0,0,0,1,0,0,0,0,0
1,박민준,두산,포수,7,0,10,7,0,0,0,1,2,2,0,0,0
1,이유찬,두산,좌익수,7,4,40,11,0,0,0,1,0,0,0,0,0
1,안재석,두산,2루수,1,0,3,0,2,0,0,1,0,0,0,0,0
1,박계범,두산,1루수,6,3,26,23,1,0,1,1,0,0,0,0,0
1,오명진,두산,1루수,5,2,19,13,4,0,2,1,0,0,0,0,0
1,홍성호,두산,1루수,5,4,30,25,1,0,2,1,0,0,0,0,0
1,케이브,두산,중견수,2,1,6,2,0,0,0,1,0,0,0,0,0
1,안재석,두산,3루수,2,2,16,1,3,0,1,1,0,0,0,0,0
1,이유찬,두산,중견수,3,3,17,2,0,0,0,1,0,0,0,0,0
1,이선우,두산,2루수,3,1,13,5,4,0,1,1,0,0,0,0,0
35,강승호,두산,2루수,34,29,253,71,75,1,17,0.993,0,0,0,0,0
35,양석환,두산,1루수,69,68,579,525,45,4,44,0.993,0,0,0,0,0
35,양의지,두산,포수,94,92,726,636,49,5,5,0.993,6,49,17,25.8,2
38,케이브,두산,우익수,132,131,1127,228,6,2,0,0.992,0,0,0,0,0
39,김기연,두산,포수,88,48,492,402,22,4,4,0.991,4,47,11,19,1
39,강승호,두산,1루수,60,33,331,293,25,3,30,0.991,0,0,0,0,0
41,정수빈,두산,중견수,131,128,1077,262,4,3,2,0.989,0,0,0,0,0
42,안재석,두산,유격수,18,18,156,23,46,1,16,0.986,0,0,0,0,0
43,김인태,두산,좌익수,47,34,261,62,1,1,1,0.984,0,0,0,0,0
44,김민석,두산,1루수,35,24,206,214,10,4,20,0.982,0,0,0,0,0
45,박계범,두산,2루수,30,22,191,45,59,2,11,0.981,0,0,0,0,0
46,오명진,두산,2루수,69,55,488,127,161,7,38,0.976,0,0,0,0,0
46,조수행,두산,중견수,31,8,114,40,1,1,1,0.976,0,0,0,0,0
48,오명진,두산,3루수,21,17,146,11,27,1,3,0.974,0,0,0,0,0
49,오명진,두산,유격수,17,15,129,28,39,2,3,0.971,0,0,0,0,0
50,김민석,두산,좌익수,51,36,285,62,2,2,1,0.97,0,0,0,0,0
51,이유찬,두산,유격수,67,60,541,90,161,8,35,0.969,0,0,0,0,0
51,여동건,두산,2루수,10,4,47,12,19,1,5,0.969,0,0,0,0,0
53,류현준,두산,포수,10,3,35,27,1,1,0,0.966,0,4,0,0,0
54,임종성,두산,3루수,32,26,212,22,33,2,3,0.965,0,0,0,0,0
55,박준순,두산,2루수,29,22,182,44,55,4,13,0.961,0,0,0,0,0
56,박지훈,두산,3루수,15,9,88,11,12,1,1,0.958,0,0,0,0,0
57,박준영,두산,유격수,38,34,287,54,75,8,20,0.942,0,0,0,0,0
58,강승호,두산,3루수,30,29,244,24,53,5,5,0.939,0,0,0,0,0
59,박계범,두산,유격수,28,12,118,14,33,4,4,0.922,0,0,0,0,0
60,김대한,두산,좌익수,8,4,34,11,0,1,0,0.917,0,0,0,0,0
61,박계범,두산,3루수,29,10,121,8,23,3,3,0.912,0,0,0,0,0
62,박준순,두산,유격수,4,1,16,3,6,1,3,0.9,0,0,0,0,0
63,박지훈,두산,유격수,5,1,18,2,5,1,1,0.875,0,0,0,0,0
64,박준순,두산,3루수,54,50,445,30,95,19,12,0.868,0,0,0,0,0
65,전다민,두산,중견수,7,0,17,6,0,1,0,0.857,0,0,0,0,0
66,이선우,두산,유격수,3,2,12,3,2,1,0,0.833,0,0,0,0,0
67,홍성호,두산,우익수,1,1,8,3,0,1,0,0.75,0,0,0,0,0
67,김동준,두산,1루수,1,0,3,3,0,1,1,0.75,0,0,0,0,0
69,김동준,두산,우익수,4,0,9,0,0,0,0,0,0,0,0,0,0
69,이유찬,두산,3루수,3,1,2,0,0,0,0,0,0,0,0,0,0
69,김동준,두산,중견수,1,0,2,0,0,0,0,0,0,0,0,0,0
69,박지훈,두산,중견수,2,0,2,0,0,0,0,0,0,0,0,0,0
69,전다민,두산,우익수,1,0,2,0,0,0,0,0,0,0,0,0,0
69,천현재,두산,중견수,1,1,7,0,0,0,0,0,0,0,0,0,0
69,홍성호,두산,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
69,추재현,두산,중견수,1,0,1,0,0,0,0,0,0,0,0,0,0
69,김민석,두산,우익수,1,0,1,0,0,0,0,0,0,0,0,0,0
69,김민석,두산,중견수,3,0,4,0,0,0,0,0,0,0,0,0,0
69,김준상,두산,유격수,1,0,1,0,0,0,0,0,0,0,0,0,0
69,김재호,두산,유격수,1,1,2,0,0,0,0,0,0,0,0,0,0
1,정훈,롯데,좌익수,2,1,10,2,0,0,0,1,0,0,0,0,0
1,고승민,롯데,좌익수,2,1,10,4,0,0,0,1,0,0,0,0,0
1,김민성,롯데,2루수,12,10,81,17,22,0,4,1,0,0,0,0,0
1,김동혁,롯데,중견수,32,15,164,51,0,0,0,1,0,0,0,0,0
1,김동혁,롯데,좌익수,21,1,26,8,0,0,0,1,0,0,0,0,0
1,김동혁,롯데,우익수,23,8,102,29,3,0,2,1,0,0,0,0,0
1,최항,롯데,2루수,1,0,1,1,0,0,0,1,0,0,0,0,0
1,조세진,롯데,중견수,1,1,8,4,0,0,0,1,0,0,0,0,0
1,전준우,롯데,좌익수,49,48,384,68,4,0,1,1,0,0,0,0,0
1,강승구,롯데,포수,1,0,2,2,0,0,0,1,0,0,0,0,0
1,한승현,롯데,중견수,2,1,9,3,1,0,1,1,0,0,0,0,0
1,박건우,롯데,포수,6,0,11,10,1,0,0,1,1,0,0,0,0
1,장두성,롯데,좌익수,20,0,37,5,0,0,0,1,0,0,0,0,0
1,이호준,롯데,2루수,33,1,64,11,21,0,7,1,0,0,0,0,0
1,신윤후,롯데,중견수,5,2,27,5,0,0,0,1,0,0,0,0,0
1,박승욱,롯데,3루수,5,2,19,1,4,0,0,1,0,0,0,0,0
1,조세진,롯데,우익수,7,1,8,1,0,0,0,1,0,0,0,0,0
1,윤동희,롯데,중견수,19,18,121,37,0,0,0,1,0,0,0,0,0
1,박승욱,롯데,2루수,15,0,22,5,13,0,1,1,0,0,0,0,0
1,황성빈,롯데,좌익수,8,3,33,7,0,0,0,1,0,0,0,0,0
1,한승현,롯데,좌익수,8,2,23,3,0,0,0,1,0,0,0,0,0
1,한승현,롯데,우익수,9,3,30,7,1,0,0,1,0,0,0,0,0
1,노진혁,롯데,3루수,4,1,10,2,0,0,0,1,0,0,0,0,0
1,한태양,롯데,3루수,10,1,27,0,2,0,0,1,0,0,0,0,0
1,박승욱,롯데,1루수,10,0,16,10,2,0,3,1,0,0,0,0,0
1,전민재,롯데,2루수,4,2,19,7,4,0,2,1,0,0,0,0,0
27,유강남,롯데,포수,98,92,641,588,47,2,3,0.997,5,66,6,8.3,0
27,고승민,롯데,1루수,45,33,299,268,18,1,24,0.997,0,0,0,0,0
29,정보근,롯데,포수,93,34,397,374,21,2,1,0.995,6,28,5,15.2,0
30,손성빈,롯데,포수,50,15,189,150,15,1,0,0.994,1,7,5,41.7,0
31,레이예스,롯데,좌익수,98,88,752,146,3,1,1,0.993,0,0,0,0,0
32,나승엽,롯데,1루수,94,91,738,667,44,8,54,0.989,0,0,0,0,0
32,정훈,롯데,1루수,32,16,167,168,15,2,11,0.989,0,0,0,0,0
34,장두성,롯데,중견수,82,46,467,135,2,2,0,0.986,0,0,0,0,0
35,고승민,롯데,2루수,60,58,449,93,165,4,34,0.985,0,0,0,0,0
36,손호영,롯데,2루수,15,12,96,23,30,1,9,0.981,0,0,0,0,0
37,한태양,롯데,2루수,71,56,500,127,143,6,30,0.978,0,0,0,0,0
37,윤동희,롯데,우익수,85,73,646,130,2,3,0,0.978,0,0,0,0,0
37,레이예스,롯데,우익수,30,30,236,45,0,1,0,0.978,0,0,0,0,0
40,박재엽,롯데,포수,9,3,39,42,1,1,1,0.977,0,3,1,25,0
41,고승민,롯데,우익수,22,21,165,40,1,1,0,0.976,0,0,0,0,0
42,박승욱,롯데,유격수,30,22,174,21,51,2,10,0.973,0,0,0,0,0
43,황성빈,롯데,중견수,66,61,482,102,3,3,1,0.972,0,0,0,0,0
44,김민성,롯데,1루수,11,2,25,28,0,1,6,0.966,0,0,0,0,0
45,장두성,롯데,우익수,16,8,85,22,0,1,0,0.957,0,0,0,0,0
45,한태양,롯데,유격수,11,2,26,10,12,1,5,0.957,0,0,0,0,0
47,전민재,롯데,유격수,93,87,726,116,209,15,50,0.956,0,0,0,0,0
48,전민재,롯데,3루수,7,5,48,8,13,1,1,0.955,0,0,0,0,0
