순위,선수,팀,평균자책,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책,WHIP,완투,완봉,퀄리티스타트,상대타자,투구수,폭투,보크,블론세이브,피안타율,선발,선발승,구원승,종료,세이브기회,터프세이브,병살유도,땅볼유도,뜬공유도,BABIP,피출루율,피장타율,피OPS,땅볼/뜬공,투구수/경기,투구수/이닝,K/9,BB/9,K/BB,FIP,ERA-,FIP-,WAR,삼진비율,볼넷비율,세이브율,HR/9,H/9,LOB%
16,박명근,LG,4.89,44,3,4,4,10,0.429,38.7,36,5,16,5,30,21,21,1.34,0,0,0,168,638,0,1,1,0.25,0,0,3,13,14,0,3,36,43,0.282,0.343,0.403,0.746,0.84,14.5,16.5,6.98,3.72,1.88,5.08,110,119.3,-0.2,17.9,9.5,28.6,1.12,8.03,72
17,이정용,LG,5.03,39,6,1,1,7,0.857,34,32,3,12,2,26,19,19,1.29,0,0,0,139,575,0,0,1,0.258,0,0,6,3,12,0,7,30,36,0.305,0.333,0.371,0.704,0.83,14.7,16.9,6.88,3.18,2.17,4.25,118.1,99.7,0,18.7,8.6,8.3,0.79,8.47,64.6
18,최지명,LG,5.28,13,0,1,0,2,0,29,35,3,14,1,21,17,17,1.69,0,0,0,132,507,2,0,0,0.302,4,0,0,3,1,0,2,24,37,0.344,0.379,0.466,0.845,0.65,39,17.5,6.52,4.34,1.5,4.84,123.9,113.7,-0.1,15.9,10.6,0,0.93,10.86,72.1
19,이지강,LG,5.32,43,1,2,3,4,0.333,47.3,50,4,24,1,39,29,28,1.56,0,0,0,211,883,1,1,1,0.27,1,0,1,7,9,0,4,53,44,0.322,0.355,0.405,0.76,1.2,20.5,18.7,7.42,4.56,1.63,4.41,123.3,103.6,-0.2,18.5,11.4,33.3,0.75,9.38,66.3
20,김종운,LG,5.4,2,0,0,0,0,0,1.7,2,2,0,0,2,3,1,1.2,0,0,0,7,31,0,0,0,0.286,0,0,0,2,0,0,1,2,1,0,0.286,1.143,1.429,2,15.5,18.6,10.8,0,0,9.99,63.4,234.7,-0.2,28.6,0,0,5.4,5.4,0
21,배재준,LG,5.54,14,0,0,0,1,0,13,9,1,7,1,14,8,8,1.23,0,0,0,56,234,1,0,0,0.191,0,0,0,5,2,0,0,12,13,0.242,0.304,0.34,0.644,0.92,16.7,18,9.69,4.85,2,4.09,130.1,95.9,0,25,12.5,0,0.69,6.23,57.7
22,함덕주,LG,6,31,2,3,0,1,0.4,27,14,1,18,0,26,19,18,1.19,0,0,0,113,463,3,0,0,0.159,0,0,2,5,1,0,1,15,36,0.203,0.294,0.25,0.544,0.42,14.9,17.1,8.67,6,1.44,3.95,140.9,92.7,-0.2,23,15.9,0,0.33,4.67,42.5
23,코엔 윈,LG,7.04,5,1,1,0,0,0.5,23,28,4,4,5,8,19,18,1.39,0,0,1,107,408,0,0,0,0.295,5,1,0,0,0,0,1,31,29,0.286,0.352,0.495,0.847,1.07,81.6,17.7,3.13,1.57,2,6.13,165.4,144,-0.3,7.5,3.7,0,1.57,10.96,57.3
24,김진수,LG,9,4,0,0,0,0,0,5,11,2,1,0,6,5,5,2.4,0,0,0,27,104,0,0,0,0.423,0,0,0,3,0,0,0,4,5,0.5,0.444,0.769,1.213,0.8,26,20.8,10.8,1.8,6,6.79,211.3,159.5,-0.2,22.2,3.7,0,3.6,19.8,76.1
24,성동현,LG,9,12,0,0,0,0,0,9,10,2,9,0,6,9,9,2.11,0,0,0,45,201,1,0,0,0.286,0,0,0,6,0,0,0,10,9,0.296,0.432,0.457,0.889,1.11,16.8,22.3,6,9,0.67,7.95,211.3,186.7,-0.4,13.3,20,0,2,10,61.7
26,김유영,LG,12.46,6,0,0,0,0,0,4.3,8,0,4,1,5,6,6,2.77,0,0,0,26,108,0,0,0,0.4,0,0,0,4,0,0,0,2,5,0.533,0.52,0.55,1.07,0.4,18,24.9,10.38,8.31,1.25,4.39,253.6,103.2,-0.2,19.2,15.4,0,0,14.4,53.8
27,박시원,LG,13.5,2,0,0,0,0,0,1.3,0,0,5,0,0,2,2,3.75,0,0,0,9,35,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0.556,0,0.556,0.33,17.5,26.3,0,33.75,0,10.89,211.3,255.8,-0.1,0,55.6,0,0,0,60
28,정우영,LG,20.25,4,0,0,0,0,0,2.7,1,1,4,1,3,6,6,1.88,0,0,0,13,56,0,0,0,0.125,0,0,0,1,0,0,1,4,0,0,0.462,0.5,0.962,0,14,21,10.13,13.5,0.75,8.47,292.6,198.9,-0.3,23.1,30.8,0,2.08,2.08,0
29,김주온,LG,27,1,0,1,0,0,0,1,0,0,2,2,1,1,1,6,0,0,0,5,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,23,69,27,54,0.5,13.39,211.3,314.5,-0.1,20,40,0,0,0,75
1,데이비슨,NC,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,3.39,0,79.7,0,0,0,0,0,0,0
2,구창모,NC,2.51,4,1,0,0,0,1,14.3,14,1,3,0,18,4,4,1.19,0,0,0,59,250,1,0,0,0.25,3,0,1,0,0,0,1,11,13,0.351,0.288,0.357,0.645,0.85,62.5,17.4,11.3,1.88,6,2.46,56.4,57.8,0.6,30.5,5.1,0,0.6,8.4,83.3
3,김영규,NC,2.86,45,4,3,0,21,0.571,44,40,3,18,3,35,17,14,1.32,0,0,0,189,762,6,0,1,0.253,0,0,4,1,21,0,6,48,40,0.296,0.332,0.335,0.667,1.2,16.9,17.3,7.16,3.68,1.94,4.12,67.2,96.8,0.8,18.5,9.5,0,0.61,8.18,77.5
4,류진욱,NC,3.27,62,4,3,29,0,0.571,66,50,6,28,6,57,27,24,1.18,0,0,0,275,1061,5,0,1,0.21,0,0,4,51,31,5,8,79,53,0.25,0.308,0.324,0.632,1.49,17.1,16.1,7.77,3.82,2.04,4.39,76.9,103.2,1.1,20.7,10.2,93.5,0.82,6.82,75.4
5,김진호,NC,3.36,76,4,3,6,20,0.571,72.3,53,5,45,9,70,30,27,1.35,0,0,0,316,1303,9,1,5,0.205,0,0,4,11,30,0,5,62,75,0.259,0.341,0.317,0.658,0.83,17.1,18,8.71,5.6,1.56,4.58,78.2,107.7,1.1,22.2,14.2,20,0.62,6.53,77
6,라일리,NC,3.45,30,17,7,0,0,0.708,172,136,18,56,3,216,76,66,1.12,0,0,16,709,2916,5,0,0,0.212,30,17,0,0,0,0,5,134,160,0.286,0.277,0.341,0.618,0.84,97.2,17,11.3,2.93,3.86,3.27,81.1,76.8,5.4,30.5,7.9,0,0.94,7.12,70.1
7,임지민,NC,3.86,7,0,1,0,1,0,4.7,1,0,5,0,7,2,2,1.29,0,0,0,20,84,0,0,1,0.071,0,0,0,3,2,0,0,2,5,0.125,0.3,0.071,0.371,0.4,12,18,13.5,9.64,1.4,3.55,66.7,83.4,0.1,35,25,0,0,1.42,66.7
8,전사민,NC,4.26,74,7,7,2,13,0.5,82.3,86,3,33,11,62,45,39,1.45,0,0,0,370,1341,7,0,4,0.273,0,0,7,6,17,1,9,108,62,0.328,0.359,0.352,0.711,1.74,18.1,16.3,6.78,3.61,1.88,3.96,99.3,93,1,16.8,8.9,11.8,0.33,9.33,67.6
9,손주환,NC,4.35,52,6,1,0,7,0.857,51.7,53,5,19,1,37,29,25,1.39,0,0,0,224,807,0,0,0,0.264,0,0,6,7,5,0,5,61,52,0.298,0.327,0.363,0.69,1.17,15.5,15.6,6.45,3.31,1.95,4.35,99.1,102.1,0.5,16.5,8.5,0,0.84,8.94,66.7
10,배재환,NC,4.48,70,2,4,2,24,0.333,60.3,48,3,37,11,51,36,30,1.41,0,0,0,271,1117,6,0,3,0.221,0,0,2,6,32,0,5,42,76,0.276,0.362,0.3,0.662,0.55,16,18.5,7.61,5.52,1.38,4.72,103.9,110.9,0.4,18.8,13.7,6.3,0.44,7.08,65.4
11,로건,NC,4.53,32,7,12,0,0,0.368,173,180,18,67,10,149,98,87,1.43,0,0,16,770,3037,6,0,0,0.263,31,7,0,0,0,0,13,188,173,0.31,0.335,0.391,0.726,1.09,94.9,17.6,7.75,3.49,2.22,4.36,106.3,102.3,3.4,19.4,8.7,0,0.94,9.36,68.6
12,신민혁,NC,4.77,28,6,3,0,0,0.667,132,148,23,26,6,84,76,70,1.32,1,0,5,568,2292,3,0,0,0.281,28,6,0,1,0,0,6,118,182,0.294,0.319,0.454,0.773,0.65,81.9,17.4,5.73,1.77,3.23,5.11,112.1,120.1,2.1,14.8,4.6,0,1.57,10.09,70.4
13,임정호,NC,4.82,31,1,1,0,4,0.5,18.7,18,3,9,4,15,13,10,1.45,0,0,0,88,336,1,0,2,0.254,0,0,1,3,6,0,1,22,17,0.278,0.365,0.451,0.816,1.29,10.8,18,7.23,4.34,1.67,5.75,103.9,135.1,0,17,10.2,0,1.33,7.97,67.2
14,김태훈,NC,5.21,18,0,0,0,0,0,19,17,4,16,1,9,15,11,1.74,0,0,0,94,356,5,0,0,0.224,0,0,0,8,0,0,0,26,24,0.206,0.366,0.408,0.774,1.08,19.8,18.7,4.26,7.58,0.56,7.87,122.4,184.7,-0.3,9.6,17,0,1.89,8.05,66.9
