순위,선수,팀,평균자책,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책,WHIP,완투,완봉,퀄리티스타트,상대타자,투구수,폭투,보크,블론세이브,피안타율,선발,선발승,구원승,종료,세이브기회,터프세이브,병살유도,땅볼유도,뜬공유도,BABIP,피출루율,피장타율,피OPS,땅볼/뜬공,투구수/경기,투구수/이닝,K/9,BB/9,K/BB,FIP,ERA-,FIP-,WAR,삼진비율,볼넷비율,세이브율,HR/9,H/9,LOB%
15,한두솔,SSG,4.95,44,2,0,1,3,1,36.3,46,1,19,1,27,22,20,1.79,0,0,0,169,649,1,0,1,0.317,0,0,2,7,4,1,5,38,36,0.378,0.395,0.372,0.767,1.06,14.8,17.9,6.69,4.71,1.42,3.91,114.2,91.7,-0.2,16,11.2,25,0.24,11.19,68.1
16,김광현,SSG,5,28,10,10,0,0,0.5,144,164,13,50,4,138,86,80,1.49,0,0,9,636,2453,6,0,0,0.286,28,10,0,0,0,0,15,149,126,0.354,0.345,0.406,0.751,1.18,87.6,17,8.63,3.13,2.76,3.77,117.4,88.6,0.9,21.7,7.9,0,0.81,10.25,66.1
17,문승원,SSG,5.13,23,4,7,0,0,0.364,105.3,109,16,38,5,61,61,60,1.4,0,0,5,452,1783,4,0,0,0.273,21,4,0,0,0,0,13,105,128,0.285,0.341,0.466,0.807,0.82,77.5,16.9,5.21,3.25,1.61,5.42,119.6,127.3,-0.3,13.5,8.4,0,1.36,9.25,70.2
18,송영진,SSG,5.83,21,2,5,0,0,0.286,63.3,77,10,31,3,40,45,41,1.71,0,0,1,288,1070,2,0,0,0.312,8,2,0,2,0,0,12,72,62,0.333,0.389,0.462,0.851,1.16,51,16.9,5.68,4.41,1.29,5.77,135.4,135.4,-1.1,13.9,10.8,0,1.41,10.83,68
19,최현석,SSG,6.23,13,0,0,0,0,0,17.3,21,5,6,2,11,13,12,1.56,0,0,0,77,290,1,0,0,0.304,0,0,0,8,0,0,2,25,12,0.302,0.377,0.551,0.928,2.08,22.3,16.7,5.71,3.12,1.83,7.12,140.9,167.1,-0.6,14.3,7.8,0,2.5,10.5,72.7
20,서진용,SSG,6.75,2,0,0,0,0,0,1.3,1,0,3,0,0,1,1,3,0,0,0,7,27,0,0,0,0.25,0,0,0,1,0,0,1,1,2,0.25,0.571,0.25,0.821,0.5,13.5,20.3,0,20.25,0,7.89,105.7,185.3,0,0,42.9,0,0,4.5,75
21,박종훈,SSG,7.11,5,0,2,0,0,0,19,15,4,18,5,10,17,15,1.74,0,0,1,90,370,0,0,0,0.231,5,0,0,0,0,0,4,24,17,0.212,0.427,0.431,0.858,1.41,74,19.5,4.74,8.53,0.56,8.71,166.9,204.5,-0.6,11.1,20,0,1.89,7.11,64.8
22,정동윤,SSG,8.31,12,0,0,0,0,0,17.3,21,2,12,0,17,16,16,1.9,0,0,0,82,317,1,0,0,0.309,0,0,0,7,0,0,2,17,14,0.38,0.407,0.485,0.892,1.21,26.4,18.3,8.83,6.23,1.42,4.95,187.9,116.2,-0.5,20.7,14.6,0,1,10.5,56.3
1,김한중,두산,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0.5,0,0,0,8,25,0,0,0,0.125,0,0,0,2,0,0,0,3,4,0.125,0.125,0.25,0.375,0.75,12.5,12.5,0,0,0,3.39,0,79.7,0,0,0,0,0,4.5,0
2,이교훈,두산,1.17,10,1,0,0,0,1,7.7,4,0,4,1,7,2,1,1.04,0,0,0,29,125,2,0,0,0.174,0,0,1,3,0,0,3,5,7,0.25,0.321,0.217,0.538,0.71,12.5,16.3,8.22,4.7,1.75,3.5,22.6,82.2,0.1,24.1,13.8,0,0,3.86,77.8
3,잭로그,두산,2.81,30,10,8,0,1,0.556,176,146,8,39,17,156,66,55,1.05,0,0,17,722,2698,4,0,0,0.224,29,10,0,0,1,0,15,204,149,0.281,0.284,0.311,0.595,1.37,89.9,15.3,7.98,1.99,4,3.17,66,74.3,4.4,21.6,5.4,0,0.41,7.47,71.3
4,박신지,두산,2.85,54,2,4,0,5,0.333,60,55,3,29,5,36,24,19,1.4,0,0,0,264,1008,8,0,1,0.244,0,0,2,7,8,0,4,58,79,0.275,0.34,0.378,0.718,0.73,18.7,16.8,5.4,4.35,1.24,4.54,66.9,106.7,0.3,13.6,11,0,0.45,8.25,76.7
5,김택연,두산,3.53,64,4,5,24,0,0.444,66.3,47,6,31,5,79,31,26,1.18,0,0,0,281,1151,5,0,9,0.196,0,0,4,43,34,3,3,42,73,0.263,0.3,0.296,0.596,0.58,18,17.4,10.72,4.21,2.55,3.81,82,89.5,0.4,28.1,11,70.6,0.81,6.31,69.7
6,박치국,두산,3.75,73,4,4,2,16,0.5,62.3,58,4,21,7,57,35,26,1.27,0,0,0,271,1045,0,0,4,0.245,0,0,4,11,23,0,2,66,57,0.305,0.323,0.359,0.682,1.16,14.3,16.8,8.23,3.03,2.71,3.74,87.2,87.9,0.1,21,7.7,8.7,0.57,8.29,63.4
7,김정우,두산,3.86,18,0,0,1,1,0,21,26,1,9,3,13,12,9,1.67,0,0,0,103,396,1,0,0,0.302,0,0,0,9,2,0,1,26,23,0.338,0.38,0.384,0.764,1.13,22,18.9,5.57,3.86,1.44,4.49,90.6,105.4,-0.1,12.6,8.7,50,0.43,11.14,71
8,이영하,두산,4.05,73,4,4,0,14,0.5,66.7,63,4,39,6,72,33,30,1.53,0,0,0,299,1136,7,0,5,0.254,0,0,4,8,23,0,6,66,48,0.341,0.367,0.343,0.71,1.38,15.6,17,9.72,5.27,1.85,4.02,92.8,94.5,0.2,24.1,13,0,0.53,8.3,73.2
9,박정수,두산,4.1,29,1,0,0,3,1,26.3,31,1,8,4,15,13,12,1.48,0,0,0,119,418,1,0,0,0.304,0,0,1,5,5,0,3,32,26,0.341,0.371,0.382,0.753,1.23,14.4,15.9,5.13,2.73,1.88,4.1,93.9,96.2,0.1,12.6,6.7,0,0.33,10.33,72.1
10,곽빈,두산,4.2,19,5,7,0,0,0.417,109.3,96,9,41,2,107,55,51,1.25,0,0,7,465,1804,5,0,0,0.232,19,5,0,0,0,0,4,109,108,0.286,0.3,0.367,0.667,1.01,94.9,16.5,8.81,3.38,2.61,3.68,98,86.5,1.7,23,8.8,0,0.74,7.85,66.5
11,양재훈,두산,4.24,19,0,0,1,0,0,23.3,19,3,8,0,19,11,11,1.16,0,0,0,93,380,0,0,0,0.226,0,0,0,8,2,0,2,14,33,0.254,0.29,0.381,0.671,0.42,20,16.3,7.33,3.09,2.38,4.43,96.9,104.1,0.1,20.4,8.6,50,1.13,7.13,70.2
12,최민석,두산,4.4,17,3,3,0,0,0.5,77.7,72,7,34,5,53,41,38,1.36,0,0,4,333,1342,5,1,0,0.248,15,3,0,0,0,0,9,90,76,0.281,0.336,0.379,0.715,1.18,78.9,17.3,6.14,3.94,1.56,4.68,101.2,109.9,0.5,15.9,10.2,0,0.79,8.17,69.2
13,최승용,두산,4.41,23,5,7,0,0,0.417,116.3,121,8,36,6,71,60,57,1.35,0,0,9,507,1958,4,0,0,0.265,23,5,0,0,0,0,10,120,148,0.297,0.325,0.379,0.704,0.81,85.1,16.8,5.49,2.79,1.97,4.15,103,97.3,1.4,14,7.1,0,0.62,9.31,67.9
14,콜어빈,두산,4.48,28,8,12,0,0,0.4,144.7,142,9,79,18,128,80,72,1.53,0,0,10,649,2593,6,0,0,0.268,28,8,0,0,0,0,16,147,121,0.332,0.376,0.379,0.755,1.21,92.6,17.9,7.96,4.91,1.62,4.43,104,104.1,1.2,19.7,12.2,0,0.55,8.73,70.2
15,홍민규,두산,4.59,20,2,1,1,0,0.667,33.3,37,4,15,1,17,19,17,1.56,0,0,0,151,571,4,0,0,0.28,2,0,2,11,1,0,2,30,51,0.289,0.351,0.417,0.768,0.59,28.6,17.1,4.59,4.05,1.13,5.33,105.7,125.3,-0.2,11.3,9.9,100,1.06,9.79,71.7
16,김민규,두산,4.66,7,1,1,0,0,0.5,9.7,9,1,6,4,6,5,5,1.55,0,0,0,47,199,0,0,0,0.273,1,0,1,5,0,0,0,6,16,0.267,0.404,0.455,0.859,0.38,28.4,20.6,5.59,5.59,1,6.13,93.2,143.9,-0.1,12.8,12.8,0,0.79,7.15,79.5
17,최원준,두산,4.71,47,4,7,0,9,0.364,107,105,18,38,4,62,59,56,1.34,0,0,5,456,1852,4,0,2,0.258,16,1,3,1,9,0,6,96,147,0.264,0.325,0.442,0.767,0.65,39.4,17.3,5.21,3.2,1.63,5.6,110.6,131.5,-0.5,13.6,8.3,0,1.51,8.83,72.2
18,제환유,두산,4.96,6,0,1,0,0,0,16.3,17,2,12,1,8,10,9,1.78,0,0,0,78,304,0,0,0,0.27,3,0,0,0,0,0,1,19,20,0.278,0.39,0.381,0.771,0.95,50.7,18.6,4.41,6.61,0.67,6.28,111.9,147.4,-0.2,10.3,15.4,0,1.06,9,73.5
19,김명신,두산,5.4,8,0,0,0,0,0,8.3,13,0,3,1,6,8,5,1.92,0,0,0,43,202,1,0,0,0.342,0,0,0,1,0,0,0,10,10,0.394,0.395,0.474,0.869,1,25.3,24.2,6.48,3.24,2,3.39,117.4,79.7,-0.1,14,7,0,0,13,52.9
19,최종인,두산,5.4,3,0,0,0,0,0,1.7,1,0,3,0,5,1,1,2.4,0,0,0,9,46,2,0,0,0.167,0,0,0,2,0,0,0,0,0,1,0.444,0.167,0.611,0,15.3,27.6,27,16.2,1.67,3.09,63.4,72.6,0,55.6,33.3,0,0,2.7,75
21,홍건희,두산,6.19,20,2,1,0,0,0.667,16,18,2,15,0,15,13,11,2.06,0,0,0,83,341,0,0,0,0.273,0,0,2,7,0,0,0,22,11,0.327,0.407,0.379,0.786,2,17.1,21.3,8.44,8.44,1,5.96,145.3,139.9,-0.4,18.1,18.1,0,1.13,10.13,66.2
22,이병헌,두산,6.23,22,0,0,0,4,0,13,11,1,10,0,9,9,9,1.62,0,0,0,56,216,0,0,0,0.244,0,0,0,2,6,0,1,8,18,0.278,0.375,0.333,0.708,0.44,9.8,16.6,6.23,6.92,0.9,5.32,146.3,124.8,-0.2,16.1,17.9,0,0.69,7.62,61.2
23,최지강,두산,6.34,39,2,5,0,5,0.286,32.7,41,3,13,2,38,25,23,1.65,0,0,0,149,582,3,0,4,0.313,0,0,2,9,13,0,3,39,13,0.422,0.384,0.42,0.804,3,14.9,17.8,10.47,3.58,2.92,3.63,141.6,85.1,-0.3,25.5,8.7,0,0.79,10.75,59.8
24,김호준,두산,6.75,19,0,1,0,1,0,10.7,14,2,7,0,7,11,8,1.97,0,0,0,54,218,1,0,1,0.298,0,0,0,3,2,0,2,22,4,0.316,0.389,0.489,0.878,5.5,11.5,20.4,5.91,5.91,1,6.07,137.1,142.5,-0.4,13,13,0,1.46,10.22,54.9
24,윤태호,두산,6.75,10,0,1,0,1,0,17.3,16,2,5,0,16,14,13,1.21,0,0,0,73,287,2,0,0,0.246,1,0,0,2,0,0,1,14,20,0.292,0.296,0.431,0.727,0.7,28.7,16.6,8.31,2.6,3.2,3.89,152.6,91.4,-0.2,21.9,6.8,0,1,8,38.5
26,고효준,두산,6.86,45,2,1,0,9,0.667,21,29,4,14,1,19,16,16,2.05,0,0,0,104,441,4,0,3,0.337,0,0,2,2,15,0,3,23,16,0.391,0.431,0.523,0.954,1.44,9.8,21,8.14,6,1.36,6.2,161,145.7,-0.5,18.3,13.5,0,1.71,12.43,72.9
27,최준호,두산,8.44,9,1,2,0,0,0.333,16,18,4,9,2,11,15,15,1.69,0,0,0,74,305,2,0,0,0.29,3,0,1,2,0,0,1,14,20,0.292,0.392,0.565,0.957,0.7,33.9,19.1,6.19,5.06,1.22,7.33,198.1,172.1,-0.5,14.9,12.2,0,2.25,10.13,59.8
28,김유성,두산,8.83,7,0,2,0,0,0,17.3,17,3,14,4,22,17,17,1.79,0,0,0,85,385,1,0,0,0.254,4,0,0,1,0,0,0,11,17,0.333,0.412,0.418,0.83,0.65,55,22.2,11.42,7.27,1.57,6.12,199.6,143.6,-0.4,25.9,16.5,0,1.5,8.5,58.4
1,김원중,롯데,2.67,53,4,3,32,0,0.571,60.7,58,4,33,2,69,21,18,1.5,0,0,0,272,1117,7,1,6,0.25,0,0,4,43,38,3,3,58,48,0.338,0.347,0.366,0.713,1.21,21.1,18.4,10.24,4.9,2.09,3.7,61,86.8,1.2,25.4,12.1,84.2,0.58,8.37,82.4
2,심재민,롯데,3,4,1,0,0,0,1,3,5,0,1,0,2,2,1,2,0,0,0,15,48,1,0,0,0.357,0,0,1,2,0,0,0,5,2,0.417,0.4,0.429,0.829,2.5,12,16,6,3,2,3.06,70.4,71.8,0,13.3,6.7,0,0,15,66.7
3,홍민기,롯데,3.09,25,0,2,0,3,0,32,24,0,11,2,39,13,11,1.09,0,0,0,129,510,1,0,0,0.211,2,0,0,2,5,0,7,33,20,0.312,0.287,0.272,0.559,1.65,20.4,15.9,10.97,3.09,3.55,2.17,72.6,51.1,0.8,30.2,8.5,0,0,6.75,64.9
4,감보아,롯데,3.58,19,7,8,0,0,0.467,108,97,6,49,4,117,54,43,1.35,0,0,11,475,1866,5,0,0,0.236,19,7,0,0,0,0,7,121,81,0.311,0.32,0.319,0.639,1.49,98.2,17.3,9.75,4.08,2.39,3.42,84.1,80.3,2.7,24.6,10.3,0,0.5,8.08,67.8
5,데이비슨,롯데,3.65,22,10,5,0,0,0.667,123.3,123,10,48,5,119,53,50,1.39,0,0,11,529,2100,4,1,0,0.262,22,10,0,0,0,0,12,120,110,0.329,0.335,0.377,0.712,1.09,95.5,17,8.68,3.5,2.48,3.8,85.2,89.3,3.2,22.5,9.1,0,0.73,8.93,75.9
6,정성종,롯데,3.86,2,0,0,0,0,0,2.3,3,1,0,0,0,1,1,1.29,0,0,0,10,37,0,0,0,0.3,0,0,0,0,0,0,0,4,3,0.222,0.3,0.7,1,1.33,18.5,15.9,0,0,0,7.73,70.4,181.4,0,0,0,0,3,9,125
7,나균안,롯데,3.87,28,3,7,0,0,0.3,137.3,143,13,50,5,116,67,59,1.41,0,0,9,601,2328,3,0,0,0.268,26,2,1,1,0,0,8,140,140,0.317,0.333,0.395,0.728,1,83.1,17,7.6,3.28,2.32,4.13,90.4,97,2.8,19.3,8.3,0,0.85,9.33,72.9
8,정현수,롯데,3.97,82,2,0,0,12,1,47.7,34,4,26,2,47,23,21,1.26,0,0,0,203,851,2,0,0,0.201,0,0,2,9,15,0,5,45,46,0.248,0.31,0.325,0.635,0.98,10.4,17.9,8.87,4.91,1.81,4.24,90,99.7,0.5,23.2,12.8,0,0.73,6.2,69.1
9,송재영,롯데,4,46,1,0,0,3,1,27,19,3,24,0,28,13,12,1.59,0,0,0,121,491,2,0,0,0.202,0,0,1,6,4,0,5,24,25,0.246,0.358,0.34,0.698,0.96,10.7,18.2,9.33,8,1.17,5.43,93.9,127.5,0.1,23.1,19.8,0,1,6.33,77.3
9,김강현,롯데,4,67,2,2,0,4,0.5,72,69,9,21,7,36,37,32,1.25,0,0,0,306,1135,4,0,0,0.254,0,0,2,19,1,0,6,95,76,0.26,0.319,0.415,0.734,1.25,16.9,15.8,4.5,2.63,1.71,5.18,93.9,121.7,0.4,11.8,6.9,0,1.13,8.63,71.1
11,정철원,롯데,4.24,75,8,3,0,21,0.727,70,72,4,28,7,55,34,33,1.43,0,0,0,312,1169,5,0,6,0.268,0,0,8,4,27,0,7,73,74,0.316,0.346,0.368,0.714,0.99,15.6,16.7,7.07,3.6,1.96,4.06,99.6,95.4,0.8,17.6,9,0,0.51,9.26,72
12,김태현,롯데,4.5,1,0,0,0,0,0,2,1,0,4,0,2,2,1,2.5,0,0,0,12,51,0,0,0,0.143,0,0,0,0,0,0,0,2,3,0.167,0.417,0.143,0.56,0.67,51,25.5,9,18,0.5,7.39,105.7,173.6,-0.1,16.7,33.3,0,0,4.5,60
13,박세웅,롯데,4.93,29,11,13,0,0,0.458,160.7,183,15,54,8,156,99,88,1.48,0,0,12,722,2694,14,1,0,0.282,28,11,0,0,0,0,9,171,142,0.349,0.343,0.426,0.769,1.2,92.9,16.8,8.74,3.02,2.89,3.82,114.6,89.7,2.7,21.6,7.5,0,0.83,10.15,65.2
14,이민석,롯데,5.26,20,2,5,0,0,0.286,87.3,104,10,56,2,61,56,51,1.83,0,0,4,417,1596,2,0,0,0.295,17,2,0,0,0,0,8,105,86,0.33,0.391,0.429,0.82,1.22,79.8,18.3,6.29,5.77,1.09,5.46,122.5,128.2,0.6,14.6,13.4,0,1.02,10.64,71.6
15,최준용,롯데,5.3,49,4,4,1,17,0.5,54.3,50,5,16,6,62,35,32,1.21,0,0,0,234,910,3,0,4,0.243,0,0,4,4,17,0,1,43,53,0.319,0.313,0.369,0.682,0.81,18.6,16.7,10.27,2.65,3.88,3.52,123,82.7,0.4,26.5,6.8,5.9,0.82,8.18,56.9
16,박진,롯데,5.32,51,3,3,1,3,0.5,69.3,76,10,22,1,50,42,41,1.41,0,0,0,302,1172,5,0,1,0.277,5,0,3,11,5,1,8,70,82,0.303,0.329,0.445,0.774,0.85,23,16.9,6.49,2.86,2.27,4.81,123.8,112.9,0.2,16.6,7.3,20,1.29,9.77,67.1
16,반즈,롯데,5.32,8,3,4,0,0,0.429,45.7,47,4,17,2,38,31,27,1.4,0,0,3,204,761,2,0,0,0.258,8,3,0,0,0,0,2,55,43,0.305,0.327,0.423,0.75,1.28,95.1,16.7,7.49,3.35,2.24,4.09,120.6,96,0.6,18.6,8.3,0,0.76,8.94,57.9
18,정우준,롯데,5.4,3,0,0,0,0,0,3.3,6,0,0,1,3,2,2,1.8,0,0,0,16,58,0,0,0,0.4,0,0,0,2,0,0,1,2,4,0.5,0.438,0.6,1.038,0.5,19.3,17.4,8.1,0,0,2.64,105.7,62.1,0,18.8,0,0,0,13.5,71.4
19,한현희,롯데,6.23,3,0,0,0,1,0,8.7,13,2,2,1,8,6,6,1.73,0,0,0,41,161,1,0,0,0.342,2,0,0,0,0,0,1,5,12,0.393,0.39,0.553,0.943,0.42,53.7,18.6,8.31,2.08,4,5.23,122.7,122.9,0,19.5,4.9,0,1.74,11.32,75.8
20,김태혁,롯데,6.38,45,0,1,2,3,0,36.7,48,4,18,3,27,26,26,1.8,0,0,0,180,644,1,0,0,0.314,0,0,0,14,7,1,2,44,38,0.349,0.388,0.458,0.846,1.16,14.3,17.6,6.63,4.42,1.5,4.98,143.3,117,-0.1,15,10,28.6,0.94,11.27,67.8
21,구승민,롯데,7,11,0,1,0,1,0,9,9,1,7,1,10,10,7,1.78,0,0,0,45,187,0,0,0,0.243,0,0,0,5,2,0,0,10,8,0.308,0.378,0.405,0.783,1.25,17,20.8,10,7,1.43,5.28,164.4,124,-0.2,22.2,15.6,0,1,9,44.9
22,윤성빈,롯데,7.67,31,1,2,0,0,0.333,27,26,3,20,4,44,23,23,1.7,0,0,0,130,524,6,0,0,0.245,1,0,1,9,1,0,0,14,22,0.39,0.385,0.396,0.781,0.64,16.9,19.4,14.67,6.67,2.2,4.24,180,99.7,-0.1,33.8,15.4,0,1,8.67,59
23,박준우,롯데,8.03,11,1,2,0,1,0.333,12.3,21,0,6,1,11,11,11,2.19,0,0,0,64,238,0,0,1,0.368,1,0,1,1,1,0,0,13,12,0.457,0.438,0.456,0.894,1.08,21.6,19.3,8.03,4.38,1.83,3.32,178.8,77.9,0,17.2,9.4,0,0,14.54,60.7
24,벨라스케즈,롯데,8.23,11,1,4,0,0,0.2,35,47,7,18,3,28,32,32,1.86,0,0,1,168,651,1,2,0,0.324,7,1,0,1,0,0,2,33,37,0.364,0.41,0.552,0.962,0.89,59.2,18.6,7.2,4.63,1.56,6.19,193.2,145.4,-0.4,16.7,10.7,0,1.8,12.09,61.9
25,박진형,롯데,8.44,7,0,0,0,0,0,5.3,9,1,3,0,5,7,5,2.25,0,0,0,29,104,0,0,0,0.346,0,0,0,4,0,0,0,7,5,0.4,0.414,0.577,0.991,1.4,14.9,19.5,8.44,5.06,1.67,5.39,176.1,126.6,-0.2,17.2,10.3,0,1.5,13.5,47.2
26,이영재,롯데,9,3,0,0,0,0,0,2,5,1,0,1,2,2,2,2.5,0,0,0,11,43,0,0,0,0.5,0,0,0,2,0,0,1,2,1,0.571,0.545,0.9,1.445,2,14.3,21.5,9,0,0,9.39,211.3,220.6,-0.1,18.2,0,0,4.5,22.5,87
27,김진욱,롯데,10,14,1,3,0,0,0.25,27,42,10,16,2,24,32,30,2.15,0,0,1,136,544,0,0,2,0.365,6,1,0,0,2,0,2,27,23,0.39,0.448,0.678,1.126,1.17,38.9,20.1,8,5.33,1.5,8.43,234.8,198,-0.9,17.6,11.8,0,3.33,14,60.9
28,박시영,롯데,11.05,11,1,0,0,0,1,7.3,9,0,9,2,10,9,9,2.45,0,0,0,42,169,0,0,0,0.29,0,0,1,2,1,0,0,7,5,0.429,0.476,0.419,0.895,1.4,15.4,23,12.27,11.05,1.11,5.02,237.8,117.8,-0.2,23.8,21.4,0,0,10.13,55
29,박세현,롯데,14.73,3,0,0,0,0,0,3.7,8,1,1,1,4,6,6,2.45,0,0,0,21,65,0,0,0,0.421,0,0,0,3,0,0,0,2,5,0.5,0.476,0.842,1.318,0.4,21.7,17.7,9.82,2.45,4,5.46,237.8,128.1,-0.2,19,4.8,0,1.69,13.5,46.5
1,양현,삼성,0,4,0,0,0,0,0,3.3,2,0,3,0,1,0,0,1.5,0,0,0,15,65,0,0,1,0.167,0,0,0,3,1,0,0,7,2,0.182,0.333,0.167,0.5,3.5,16.3,19.5,2.7,8.1,0.33,5.14,0,120.8,0.1,6.7,20,0,0,4.5,100
1,이상민,삼성,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,5,12,0,0,0,0.4,0,0,0,1,0,0,0,1,1,0.5,0.4,0.4,0.8,1,12,12,9,0,0,1.39,0,32.7,0,20,0,0,0,18,100
1,김대우,삼성,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1.5,0,0,0,3,16,0,0,0,0.333,0,0,0,0,1,0,0,0,2,0.333,0.333,0.667,1,0,8,24,0,0,0,3.39,0,79.7,0.1,0,0,0,0,4.5,100
4,이재익,삼성,1.23,7,1,0,0,0,1,7.3,8,0,2,0,6,1,1,1.36,0,0,0,31,113,1,0,0,0.276,0,0,1,1,0,0,1,11,4,0.348,0.323,0.345,0.668,2.75,16.1,15.4,7.36,2.45,3,2.64,26.4,62.1,0.3,19.4,6.5,0,0,9,90
5,백정현,삼성,1.95,29,2,0,1,3,1,32.3,19,1,7,2,31,7,7,0.8,0,0,0,128,505,0,0,2,0.165,1,0,2,8,8,0,0,34,33,0.212,0.222,0.243,0.465,1.03,17.4,15.6,8.63,1.95,4.43,2.73,44.8,64,1,24.2,5.5,12.5,0.27,5.18,78.9
6,후라도,삼성,2.6,30,15,8,0,0,0.652,197.3,177,17,36,4,142,65,57,1.08,3,2,23,786,2921,3,0,0,0.239,30,15,0,3,0,0,23,249,173,0.275,0.278,0.339,0.617,1.44,97.4,14.8,6.48,1.64,3.94,3.68,60.8,86.4,6.6,18.1,4.6,0,0.77,8.05,78.7
7,가라비토,삼성,2.64,15,4,4,0,0,0.5,78.3,56,6,37,6,84,31,23,1.19,0,0,4,327,1356,2,0,0,0.2,15,4,0,0,0,0,6,80,60,0.263,0.307,0.282,0.589,1.33,90.4,17.3,9.65,4.25,2.27,3.89,61.5,91.3,2.2,25.7,11.3,0,0.68,6.38,75.1
8,이재희,삼성,3,11,0,2,0,4,0,9,7,0,5,0,9,3,3,1.33,0,0,0,39,157,0,0,0,0.206,0,0,0,1,3,0,0,5,13,0.28,0.308,0.294,0.602,0.38,14.3,17.4,9,5,1.8,3.06,70.4,71.8,0.2,23.1,12.8,0,0,7,75
9,원태인,삼성,3.24,27,12,4,0,0,0.75,166.7,157,20,27,6,108,66,60,1.1,0,0,20,671,2493,1,0,0,0.253,27,12,0,0,0,0,18,173,189,0.275,0.288,0.407,0.695,0.92,92.3,15,5.83,1.46,4,4.24,75.3,99.6,4.5,16.1,4,0,1.07,8.39,76.5
10,양창섭,삼성,3.43,33,3,3,0,2,0.5,63,67,3,19,9,45,29,24,1.37,0,0,0,276,969,4,0,0,0.278,6,0,3,6,3,0,8,69,64,0.325,0.348,0.357,0.705,1.08,29.4,15.4,6.43,2.71,2.37,3.92,80.5,92,1.1,16.3,6.9,0,0.43,9.57,72.7
11,이승민,삼성,3.78,62,3,2,0,8,0.6,64.3,61,5,26,3,53,37,27,1.35,0,0,0,280,1068,1,0,0,0.249,1,0,3,11,7,0,2,66,66,0.298,0.327,0.388,0.715,1,17.2,16.6,7.41,3.64,2.04,4.1,87.8,96.3,0.6,18.9,9.3,0,0.69,8.45,63.9
12,배찬승,삼성,3.91,65,2,3,0,19,0.4,50.7,50,3,34,2,57,25,22,1.66,0,0,0,233,962,5,0,2,0.259,0,0,2,5,19,0,5,49,37,0.353,0.376,0.363,0.739,1.32,14.8,19,10.13,6.04,1.68,4.02,88.8,94.5,0.7,24.5,14.6,0,0.52,8.6,74.6
13,레예스,삼성,4.14,10,4,3,0,0,0.571,50,51,5,12,3,35,26,23,1.26,0,0,2,215,844,0,0,0,0.264,10,4,0,0,0,0,1,53,58,0.293,0.311,0.389,0.7,0.91,84.4,16.9,6.3,2.16,2.92,4.19,97.2,98.5,1.1,16.3,5.6,0,0.9,9.18,67.8
14,김태훈,삼성,4.48,73,2,6,2,19,0.25,66.3,66,8,26,2,74,34,33,1.39,0,0,0,287,1122,4,0,5,0.259,0,0,2,9,29,0,7,51,67,0.33,0.329,0.404,0.733,0.76,15.4,16.9,10.04,3.53,2.85,3.99,104.1,93.7,0.8,25.8,9.1,6.9,1.07,8.87,72.5
15,홍원표,삼성,4.5,2,0,1,0,0,0,2,3,0,2,1,1,1,1,2.5,0,0,0,12,40,0,0,0,0.429,0,0,0,2,0,0,0,0,4,0.429,0.545,0.429,0.974,0,20,20,4.5,9,0.5,6.89,105.7,161.9,0,8.3,16.7,0,0,13.5,83.3
15,송은범,삼성,4.5,5,0,0,0,0,0,6,9,0,3,0,2,3,3,2,0,0,0,28,93,3,0,0,0.375,0,0,0,3,0,0,3,7,6,0.409,0.444,0.458,0.902,1.17,18.6,15.5,3,4.5,0.67,4.23,105.7,99.2,0.1,7.1,10.7,0,0,13.5,75
17,임창민,삼성,4.85,16,1,0,0,2,1,13,17,5,7,1,6,8,7,1.85,0,0,0,63,263,0,0,1,0.321,0,0,1,1,3,0,2,12,19,0.279,0.403,0.642,1.045,0.63,16.4,20.2,4.15,4.85,0.86,9.32,113.8,218.8,-0.2,9.5,11.1,0,3.46,11.77,94.4
18,최원태,삼성,4.92,27,8,7,0,0,0.533,124.3,128,13,51,12,109,72,68,1.44,0,0,8,552,2137,9,0,0,0.271,24,7,1,1,0,0,7,122,120,0.322,0.352,0.398,0.75,1.02,79.1,17.2,7.89,3.69,2.14,4.51,115,106,2,19.7,9.2,0,0.94,9.22,68.9
19,김재윤,삼성,4.99,63,4,7,13,3,0.364,57.7,57,10,13,1,43,34,32,1.21,0,0,0,242,938,1,0,3,0.253,0,0,4,34,19,2,2,47,79,0.272,0.296,0.458,0.754,0.59,14.9,16.3,6.71,2.03,3.31,4.84,114,113.7,0.3,17.8,5.4,68.4,1.52,8.65,64.9
20,김대호,삼성,5.14,11,0,1,0,0,0,21,25,3,15,1,19,13,12,1.9,0,0,0,105,392,1,0,0,0.291,4,0,0,5,0,0,2,23,21,0.333,0.394,0.465,0.859,1.1,35.6,18.7,8.14,6.43,1.27,5.73,120.8,134.5,0.1,18.1,14.3,0,1.29,10.71,76.1
